MHL	RWA	0	296.40
LKA	NMR	2	222.75
NGA	NRU	0	9.50
ITA	NER	76	-13457.82
PER	GHA	2	7167.68
GHA	POL	8	-15.07
VCT	LBR	6	-425.38
KOR	BOL	4	5942.64
BHR	STP	0	1831.86
LAO	MDV	2	-712.96
THA	ATG	2	185.11
GMB	GRD	0	107.37
GMB	SDN	5	8316.05
SAF	SEA	0	0.00
NPL	MWI	0	1510.93
MOZ	ETH	44	10260.70
SEN	MLT	0	334.38
TZA	CYP	2	-34.53
NGA	ECU	2	15378.61
MMR	LBY	5	364.19
LAM	POL	1	-501.93
SWE	MDA	6	5169.42
HND	CYM	0	3735.01
KAZ	UGA	1	182.40
HRV	SYC	0	119.75
SHN	NGA	2	22.38
CRB	AFG	0	342.48
QAT	JOR	137	194608.93
PRY	HRV	2	667.93
UGA	GTM	0	9006.85
MMR	SAS	12	8252.25
SYC	MLI	0	69.81
VAT	GHA	3	9664.67
NMR	NAM	0	745.17
TJK	NPL	1	1468.89
DEU	PAN	36	43547.92
KEN	THA	58	7214.90
TMP	MLI	0	74.41
AZE	VUT	0	2513.35
UKR	LTU	106	218963.86
COL	GUY	13	6389.50
SWE	GNQ	0	3.33
MYS	LIE	0	255.31
BEL	MEX	35	16070.97
MWI	KAZ	0	257.08
NRU	KIR	6	8810.71
CAF	HTI	15	19459.60
HKG	NOR	0	-12.89
NLD	PAN	34	7800.94
TGO	USA	155	49110.94
FJI	SEN	0	23.75
BDI	GNQ	0	1579.67
WAF	TUR	1	2510.32
CMR	UZB	2	-185.02
SGP	CHN	1101	1239646.97
CHE	POL	266	17893.16
PSE	LUX	1	3337.43
DOM	ZAF	0	877.15
SWZ	BDI	0	246.49
TTO	PAK	1	1378.85
SWE	SWZ	0	261.48
BWA	MWI	13	23217.93
SLV	RUS	17	5659.84
EGY	KWT	552	171060.72
URY	VAT	0	249.32
BGD	LAO	0	7144.51
BEN	KGZ	0	45.45
DJI	PHL	0	602.00
AGO	HRV	0	346.46
KHM	FRA	557	-35370.55
GRC	UZB	0	1140.62
TUR	OMN	24	47015.18
COM	GNQ	0	49.16
PER	GIN	1	6774.54
NLD	VAT	3	4862.10
ZMB	JAM	5	310.96
ARE	MYS	138	250790.93
MLT	CIV	3	416.16
QAT	HUN	2	7408.81
GAB	BGR	0	44.73
WST	USA	1654	707484.39
FIN	PHL	14	12532.17
